"filename", "language", "odin", "JSON", "Markdown", "comment", "blank", "total"
"c:\dev\box2o\aabb.odin", "odin", 91, 0, 0, 12, 7, 110
"c:\dev\box2o\body.odin", "odin", 82, 0, 0, 12, 12, 106
"c:\dev\box2o\color.odin", "odin", 577, 0, 0, 2, 4, 583
"c:\dev\box2o\constants.odin", "odin", 41, 0, 0, 30, 21, 92
"c:\dev\box2o\distance.odin", "odin", 78, 0, 0, 36, 19, 133
"c:\dev\box2o\done.md", "Markdown", 0, 0, 11, 0, 2, 13
"c:\dev\box2o\idk.odin", "odin", 73, 0, 0, 2, 4, 79
"c:\dev\box2o\ids.odin", "odin", 100, 0, 0, 2, 4, 106
"c:\dev\box2o\island.odin", "odin", 33, 0, 0, 19, 14, 66
"c:\dev\box2o\joint.odin", "odin", 200, 0, 0, 24, 27, 251
"c:\dev\box2o\ols.json", "JSON", 0, 13, 0, 0, 0, 13
"c:\dev\box2o\pool.odin", "odin", 22, 0, 0, 3, 7, 32
"c:\dev\box2o\types.odin", "odin", 22, 0, 0, 0, 2, 24
"c:\dev\box2o\world.odin", "odin", 58, 0, 0, 13, 13, 84
"Total", "-", 1377, 13, 11, 155, 136, 1692
