"filename", "language", "odin", "Markdown", "JSON", "comment", "blank", "total"
"c:\dev\box2o\aabb.odin", "odin", 91, 0, 0, 12, 7, 110
"c:\dev\box2o\block_allocator.odin", "odin", 6, 0, 0, 5, 3, 14
"c:\dev\box2o\body.odin", "odin", 82, 0, 0, 12, 12, 106
"c:\dev\box2o\color.odin", "odin", 577, 0, 0, 2, 4, 583
"c:\dev\box2o\constants.odin", "odin", 41, 0, 0, 30, 21, 92
"c:\dev\box2o\contact.odin", "odin", 46, 0, 0, 16, 7, 69
"c:\dev\box2o\contact_solver.odin", "odin", 89, 0, 0, 2, 6, 97
"c:\dev\box2o\distance.odin", "odin", 78, 0, 0, 36, 19, 133
"c:\dev\box2o\done.md", "Markdown", 0, 15, 0, 0, 2, 17
"c:\dev\box2o\graph.odin", "odin", 31, 0, 0, 5, 10, 46
"c:\dev\box2o\idk.odin", "odin", 73, 0, 0, 2, 4, 79
"c:\dev\box2o\ids.odin", "odin", 100, 0, 0, 2, 4, 106
"c:\dev\box2o\island.odin", "odin", 33, 0, 0, 19, 14, 66
"c:\dev\box2o\joint.odin", "odin", 200, 0, 0, 24, 27, 251
"c:\dev\box2o\manifold.odin", "odin", 94, 0, 0, 23, 15, 132
"c:\dev\box2o\ols.json", "JSON", 0, 0, 13, 0, 0, 13
"c:\dev\box2o\polygon_shape.odin", "odin", 2, 0, 0, 4, 1, 7
"c:\dev\box2o\pool.odin", "odin", 22, 0, 0, 3, 7, 32
"c:\dev\box2o\shape.odin", "odin", 63, 0, 0, 1, 10, 74
"c:\dev\box2o\solver_data.odin", "odin", 70, 0, 0, 18, 7, 95
"c:\dev\box2o\table.odin", "odin", 16, 0, 0, 2, 6, 24
"c:\dev\box2o\types.odin", "odin", 198, 0, 0, 107, 23, 328
"c:\dev\box2o\world.odin", "odin", 58, 0, 0, 13, 13, 84
"Total", "-", 1970, 15, 13, 338, 222, 2558
