"filename", "language", "Markdown", "odin", "JSON", "comment", "blank", "total"
"c:\dev\box2o\__idk.odin", "odin", 0, 73, 0, 2, 4, 79
"c:\dev\box2o\aabb.odin", "odin", 0, 91, 0, 12, 7, 110
"c:\dev\box2o\block_allocator.odin", "odin", 0, 6, 0, 5, 3, 14
"c:\dev\box2o\body.odin", "odin", 0, 82, 0, 12, 12, 106
"c:\dev\box2o\broad_phase.odin", "odin", 0, 33, 0, 19, 10, 62
"c:\dev\box2o\color.odin", "odin", 0, 577, 0, 2, 4, 583
"c:\dev\box2o\constants.odin", "odin", 0, 41, 0, 30, 21, 92
"c:\dev\box2o\contact.odin", "odin", 0, 46, 0, 16, 7, 69
"c:\dev\box2o\contact_solver.odin", "odin", 0, 89, 0, 2, 6, 97
"c:\dev\box2o\distance.odin", "odin", 0, 78, 0, 36, 19, 133
"c:\dev\box2o\done.md", "Markdown", 15, 0, 0, 0, 2, 17
"c:\dev\box2o\geometry.odin", "odin", 0, 57, 0, 47, 33, 137
"c:\dev\box2o\graph.odin", "odin", 0, 31, 0, 5, 10, 46
"c:\dev\box2o\hull.odin", "odin", 0, 7, 0, 12, 4, 23
"c:\dev\box2o\id.odin", "odin", 0, 100, 0, 2, 4, 106
"c:\dev\box2o\island.odin", "odin", 0, 33, 0, 19, 14, 66
"c:\dev\box2o\joint.odin", "odin", 0, 200, 0, 24, 27, 251
"c:\dev\box2o\manifold.odin", "odin", 0, 94, 0, 23, 15, 132
"c:\dev\box2o\ols.json", "JSON", 0, 0, 13, 0, 0, 13
"c:\dev\box2o\polygon_shape.odin", "odin", 0, 2, 0, 4, 1, 7
"c:\dev\box2o\pool.odin", "odin", 0, 22, 0, 3, 7, 32
"c:\dev\box2o\shape.odin", "odin", 0, 63, 0, 1, 10, 74
"c:\dev\box2o\solver_data.odin", "odin", 0, 70, 0, 18, 7, 95
"c:\dev\box2o\table.odin", "odin", 0, 16, 0, 2, 6, 24
"c:\dev\box2o\types.odin", "odin", 0, 198, 0, 107, 23, 328
"c:\dev\box2o\world.odin", "odin", 0, 58, 0, 13, 13, 84
"Total", "-", 15, 2067, 13, 416, 269, 2780
